image,size,file_path,action
disk_1GB.img,1gb,/copy_3371_file2.jpg,corrupted
disk_1GB.img,1gb,/copy_4398_alice.txt,corrupted
disk_1GB.img,1gb,/copy_1794_file1.jpg,deleted
disk_1GB.img,1gb,/copy_898_file1.jpg,keep
disk_1GB.img,1gb,/copy_1406_alice.txt,keep
disk_1GB.img,1gb,/copy_3051_file2.jpg,keep
disk_1GB.img,1gb,/copy_2623_pride.txt,keep
disk_1GB.img,1gb,/copy_3478_alice.txt,corrupted
disk_1GB.img,1gb,/copy_643_file2.jpg,keep
disk_1GB.img,1gb,/copy_2776_pride.docx,keep
disk_1GB.img,1gb,/copy_1648_pride.docx,deleted
disk_1GB.img,1gb,/copy_2800_pride.docx,keep
disk_1GB.img,1gb,/copy_3492_file2.pdf,deleted
disk_1GB.img,1gb,/copy_2222_alice.txt,corrupted
disk_1GB.img,1gb,/copy_3230_alice.txt,deleted
disk_1GB.img,1gb,/copy_1300_file2.pdf,keep
disk_1GB.img,1gb,/copy_644_file2.pdf,keep
disk_1GB.img,1gb,/copy_4157_file1.pdf,corrupted
disk_1GB.img,1gb,/copy_1271_pride.txt,deleted
disk_1GB.img,1gb,/copy_1019_file2.jpg,keep
disk_1GB.img,1gb,/copy_2451_file2.jpg,keep
disk_1GB.img,1gb,/copy_3789_file1.pdf,deleted
disk_1GB.img,1gb,/copy_2672_pride.docx,keep
disk_1GB.img,1gb,/copy_3248_pride.docx,keep
disk_1GB.img,1gb,/copy_4096_pride.docx,keep
disk_1GB.img,1gb,/copy_3983_pride.txt,keep
disk_1GB.img,1gb,/copy_1872_pride.docx,corrupted
disk_1GB.img,1gb,/copy_2549_file1.pdf,keep
disk_1GB.img,1gb,/copy_214_alice.txt,keep
disk_1GB.img,1gb,/copy_3037_file1.pdf,keep
disk_1GB.img,1gb,/copy_4401_alice.docx,keep
disk_1GB.img,1gb,/copy_1449_alice.docx,keep
disk_1GB.img,1gb,/copy_467_file2.jpg,keep
disk_1GB.img,1gb,/copy_3418_file1.jpg,corrupted
disk_1GB.img,1gb,/copy_1329_alice.docx,corrupted
disk_1GB.img,1gb,/copy_2620_file2.pdf,corrupted
disk_1GB.img,1gb,/copy_218_file1.jpg,keep
disk_1GB.img,1gb,/copy_2113_alice.docx,keep
disk_1GB.img,1gb,/copy_3452_file2.pdf,keep
disk_1GB.img,1gb,/copy_2502_alice.txt,keep
disk_1GB.img,1gb,/copy_3763_file2.jpg,keep
disk_1GB.img,1gb,/copy_2994_file1.jpg,keep
disk_1GB.img,1gb,/copy_1941_file1.pdf,keep
disk_1GB.img,1gb,/copy_1321_alice.docx,deleted
disk_1GB.img,1gb,/copy_297_alice.docx,keep
disk_1GB.img,1gb,/copy_852_file2.pdf,keep
disk_1GB.img,1gb,/copy_1488_pride.docx,keep
disk_1GB.img,1gb,/copy_2219_file2.jpg,keep
disk_1GB.img,1gb,/copy_4202_file1.jpg,keep
disk_1GB.img,1gb,/copy_3304_pride.docx,keep
disk_1GB.img,1gb,/copy_2812_file2.pdf,keep
disk_1GB.img,1gb,/copy_1755_file2.jpg,deleted
disk_1GB.img,1gb,/copy_1789_file1.pdf,keep
disk_1GB.img,1gb,/copy_2884_file2.pdf,keep
disk_1GB.img,1gb,/copy_1612_file2.pdf,keep
disk_1GB.img,1gb,/copy_1293_file1.pdf,corrupted
disk_1GB.img,1gb,/copy_2715_file2.jpg,keep
disk_1GB.img,1gb,/copy_1965_file1.pdf,deleted
disk_1GB.img,1gb,/copy_4243_file2.jpg,deleted
disk_1GB.img,1gb,/copy_3520_pride.docx,deleted
disk_1GB.img,1gb,/copy_3235_file2.jpg,keep
disk_1GB.img,1gb,/copy_4294_alice.txt,corrupted
disk_1GB.img,1gb,/copy_1575_pride.txt,keep
disk_1GB.img,1gb,/copy_408_pride.docx,deleted
disk_1GB.img,1gb,/copy_3344_pride.docx,keep
disk_1GB.img,1gb,/copy_1833_alice.docx,keep
disk_1GB.img,1gb,/copy_3509_file1.pdf,keep
